City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monrovia,6.3005,-10.7969,298.02,88,100,1.49,LR,1693109037
1,kittila,67.6647,24.8936,279.23,93,0,0.51,FI,1693109283
2,edinburgh of the seven seas,-37.0676,-12.3116,288.58,87,100,16.6,SH,1693109284
3,grytviken,-54.2811,-36.5092,267.92,82,72,4.01,GS,1693109284
4,udachny,66.4167,112.4,297.24,38,27,5.71,RU,1693109285
5,san patricio,28.017,-97.5169,303.05,72,14,4.57,US,1693109285
6,port-aux-francais,-49.35,70.2167,278.88,94,100,20.23,TF,1693109285
7,blackmans bay,-43.0167,147.3167,285.66,61,2,2.14,AU,1693109285
8,waitangi,-43.9535,-176.5597,281.38,83,100,1.79,NZ,1693109286
9,isangel,-19.55,169.2667,294.85,71,82,8.39,VU,1693109286
10,yellowknife,62.456,-114.3525,287.35,85,19,2.24,CA,1693109287
11,port alberni,49.2413,-124.8028,296.42,51,65,0.61,CA,1693109287
12,ribeira grande,38.5167,-28.7,295.8,86,43,7.6,PT,1693109220
13,vershino-darasunskiy,52.35,115.5167,294.97,33,74,1.21,RU,1693109288
14,birobidzhan,48.8,132.95,288.99,85,100,1.73,RU,1693109288
15,anadyr,64.75,177.4833,284.43,57,0,3.0,RU,1693109288
16,al ghayzah,16.2079,52.176,300.26,83,96,4.21,YE,1693109288
17,margaret river,-33.95,115.0667,289.24,84,100,2.81,AU,1693109289
18,tofol,5.3248,163.0078,300.03,94,75,6.17,FM,1693109289
19,whitehorse,60.7161,-135.0538,291.66,66,10,3.09,CA,1693109289
20,bilibino,68.0546,166.4372,287.1,49,100,3.1,RU,1693109290
21,iqaluit,63.7506,-68.5145,277.98,86,100,7.15,CA,1693109290
22,hadibu,12.65,54.0333,299.91,80,92,9.19,YE,1693109290
23,talnakh,69.4865,88.3972,286.6,66,89,6.16,RU,1693109291
24,alofi,-19.0595,-169.9187,295.64,69,70,9.27,NU,1693109291
25,stanley,54.868,-1.6985,281.64,94,20,1.03,GB,1693109292
26,murzuq,25.9155,13.9184,302.74,33,4,4.49,LY,1693109292
27,hawaiian paradise park,19.5933,-154.9731,298.88,84,100,1.54,US,1693109292
