City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,altamira,-3.2033,-52.2064,298.46,73,31,2.04,BR,1693134693
1,margaret river,-33.95,115.0667,288.84,85,61,5.83,AU,1693134715
2,puerto ayora,-0.7393,-90.3518,297.34,92,77,2.24,EC,1693134716
3,hawaiian paradise park,19.5933,-154.9731,295.88,91,100,2.06,US,1693134716
4,georgetown,5.4112,100.3354,304.11,66,20,1.03,MY,1693134560
5,voznesenskaya,44.5527,41.0318,304.26,16,0,4.28,RU,1693134717
6,thompson,55.7435,-97.8558,287.11,83,70,2.02,CA,1693134197
7,ypsonas,34.6884,32.9574,303.69,62,0,8.23,CY,1693134717
8,qaqortoq,60.7167,-46.0333,279.73,81,94,1.58,GL,1693134718
9,cidreira,-30.1811,-50.2056,281.36,75,1,4.06,BR,1693134719
10,lebu,-37.6167,-73.65,279.78,77,0,2.94,CL,1693134719
11,shiyan,32.6475,110.7781,293.85,91,100,1.22,CN,1693134719
12,wuyang,31.9925,116.2472,295.43,96,100,4.11,CN,1693134720
13,naze,28.3667,129.4833,299.1,81,22,6.15,JP,1693134579
14,papatowai,-46.5619,169.4708,277.12,77,99,2.89,NZ,1693134720
15,lensk,60.7253,114.9278,292.99,58,4,1.96,RU,1693134721
16,waitangi,-43.9535,-176.5597,279.16,65,100,5.48,NZ,1693134721
17,adamstown,-25.066,-130.1015,292.82,60,57,5.1,PN,1693134722
18,broken hill,-31.95,141.4333,290.15,33,2,3.38,AU,1693134715
19,iqaluit,63.7506,-68.5145,279.0,93,75,11.32,CA,1693134723
20,dakhla,23.6848,-15.958,300.16,65,4,11.32,EH,1693134723
21,bethel,41.3712,-73.414,291.84,88,0,0.0,US,1693134723
22,port elizabeth,-33.918,25.5701,292.09,52,0,4.12,ZA,1693134724
23,grytviken,-54.2811,-36.5092,268.56,83,72,4.5,GS,1693134725
24,bastos,-21.9219,-50.7339,286.74,77,93,5.65,BR,1693134726
25,kavaratti,10.5669,72.642,300.62,76,100,3.38,IN,1693134726
26,linxia chengguanzhen,35.6003,103.2064,294.08,43,48,3.8,CN,1693134726
27,tolanaro,-25.0319,46.9987,298.63,61,75,3.25,MG,1693134727
28,ola,59.5833,151.2833,284.34,86,66,1.44,RU,1693134727
29,puerto natales,-51.7236,-72.4875,274.4,98,100,0.55,CL,1693134728
30,i-n-salah,27.1935,2.4607,313.06,16,50,1.97,DZ,1693134728
